web_scraper_order,web_scraper_start_url,data,data2,data3,data4,data5
"1789309267-37","https://www.atode.fr/morphologie-femme/","","","","",""
"1789309267-38","https://www.atode.fr/morphologie-femme/","morphologie en X","équilibrée","","","morphologie en X"
"1789309267-39","https://www.atode.fr/morphologie-femme/","","","","",""
"1789309267-40","https://www.atode.fr/morphologie-femme/","morphologie en 8","épaules et les hanches alignées","taille bien marquée","des courbes généreuses","morphologie en 8"
"1789309267-41","https://www.atode.fr/morphologie-femme/","","","","",""
"1789309267-42","https://www.atode.fr/morphologie-femme/","","","","",""
"1789309267-43","https://www.atode.fr/morphologie-femme/","morphologie en A","hanches plus larges que tes épaules","pyramide","","morphologie en A"
"1789309267-44","https://www.atode.fr/morphologie-femme/","","","","",""
"1789309267-45","https://www.atode.fr/morphologie-femme/","","épaules légèrement tombantes","fesses, les cuisses et les hanches sont plus présentes","",""
"1789309267-46","https://www.atode.fr/morphologie-femme/","","","","",""
"1789309267-47","https://www.atode.fr/morphologie-femme/","","épaules plus larges que tes hanches","carrure marquée","bassin plutôt étroit",""
"1789309267-48","https://www.atode.fr/morphologie-femme/","morphologie en V","pyramide inversée","","","morphologie en V"
"1789309267-49","https://www.atode.fr/morphologie-femme/","","","","",""
"1789309267-50","https://www.atode.fr/morphologie-femme/","","","","",""
"1789309267-51","https://www.atode.fr/morphologie-femme/","","","","",""
"1789309267-52","https://www.atode.fr/morphologie-femme/","","","","",""
"1789309267-53","https://www.atode.fr/morphologie-femme/","morphologie en H","épaules, ta taille et tes hanches sont alignées","plutôt droite","rectangle","morphologie en H"
"1789309267-54","https://www.atode.fr/morphologie-femme/","","peu marquée","","",""
"1789309267-55","https://www.atode.fr/morphologie-femme/","","","","",""
"1789309267-56","https://www.atode.fr/morphologie-femme/","","base idéale pour créer du style","","",""
"1789309267-57","https://www.atode.fr/morphologie-femme/","","","","",""
"1789309267-58","https://www.atode.fr/morphologie-femme/","morphologie en O","formes généreuses","poitrine marquée","petit ventre","morphologie en O"
"1789309267-59","https://www.atode.fr/morphologie-femme/","","concentrés autour du centre du corps","","",""
"1789309267-60","https://www.atode.fr/morphologie-femme/","","","","",""
"1789309267-61","https://www.atode.fr/morphologie-femme/","","","","",""
"1789309267-62","https://www.atode.fr/morphologie-femme/","","","","",""
"1789309267-63","https://www.atode.fr/morphologie-femme/","","6 grandes morphologies femme","","",""
"1789309267-64","https://www.atode.fr/morphologie-femme/","","","","",""
"1789309267-65","https://www.atode.fr/morphologie-femme/","","","","",""
"1789309267-66","https://www.atode.fr/morphologie-femme/","","","","",""
"1789309267-67","https://www.atode.fr/morphologie-femme/","","","","",""
"1789309267-68","https://www.atode.fr/morphologie-femme/","","","","",""
"1789309267-69","https://www.atode.fr/morphologie-femme/","","","","",""
"1789309267-70","https://www.atode.fr/morphologie-femme/","","","","",""
"1789309267-71","https://www.atode.fr/morphologie-femme/","","","","",""
"1789309267-72","https://www.atode.fr/morphologie-femme/","","","","",""
"1789309267-73","https://www.atode.fr/morphologie-femme/","","","","",""
"1789309267-74","https://www.atode.fr/morphologie-femme/","","","","",""
"1789309267-75","https://www.atode.fr/morphologie-femme/","","","","",""
"1789309267-76","https://www.atode.fr/morphologie-femme/","","","","",""
"1789309267-77","https://www.atode.fr/morphologie-femme/","","","","",""
"1789309267-78","https://www.atode.fr/morphologie-femme/","","","","",""
"1789309267-79","https://www.atode.fr/morphologie-femme/","","","","",""
"1789309267-80","https://www.atode.fr/morphologie-femme/","","","","",""
"1789309267-81","https://www.atode.fr/morphologie-femme/","","","","","mon accompagnement Palette & Silhouette"
"1789309267-82","https://www.atode.fr/morphologie-femme/","","","","",""
"1789309267-83","https://www.atode.fr/morphologie-femme/","","","","",""
